0.8,1.7_t,3.2_t,31.4_t
98.621,95.602,89.037,50.134
98.622,95.634,89.136,50.453
98.61,95.686,89.246,50.775
98.593,95.738,89.343,51.099
98.589,95.792,89.45,51.428
98.567,95.824,89.539,51.752
98.547,95.868,89.633,52.072
98.543,95.92,89.738,52.394
98.511,95.949,89.827,52.715
98.5,95.99,89.917,53.032
98.479,96.04,90.025,53.351
98.457,96.083,90.131,53.668
98.436,96.121,90.219,53.992
98.409,96.161,90.302,54.3
98.399,96.208,90.399,54.623
98.381,96.251,90.485,54.945
98.358,96.288,90.59,55.278
98.347,96.333,90.683,55.592
98.332,96.365,90.764,55.916
98.334,96.408,90.862,56.236
98.344,96.443,90.952,56.558
98.352,96.481,91.032,56.885
98.354,96.513,91.115,57.216
98.372,96.552,91.219,57.561
98.387,96.593,91.298,57.89
98.413,96.62,91.386,58.231
98.421,96.657,91.478,58.562
98.438,96.681,91.557,58.884
98.466,96.722,91.644,59.213
98.494,96.758,91.725,59.528
98.524,96.79,91.811,59.853
98.553,96.822,91.89,60.172
98.582,96.852,91.975,60.493
98.605,96.878,92.053,60.812
98.63,96.909,92.126,61.131
98.665,96.935,92.204,61.43
98.692,96.97,92.285,61.743
98.73,97.003,92.368,62.067
98.755,97.029,92.442,62.379
98.79,97.06,92.513,62.695
98.822,97.09,92.59,63.016
98.853,97.112,92.667,63.335
98.885,97.139,92.741,63.644
98.917,97.166,92.818,63.966
98.961,97.192,92.902,64.296
98.994,97.237,92.984,64.632
99.022,97.258,93.057,64.961
99.055,97.289,93.135,65.297
99.094,97.319,93.211,65.622
99.132,97.346,93.283,65.941
99.156,97.371,93.35,66.251
99.184,97.401,93.423,66.571
99.222,97.432,93.497,66.888
99.252,97.461,93.581,67.198
99.283,97.485,93.655,67.508
99.3,97.505,93.721,67.816
99.333,97.531,93.788,68.12
99.365,97.566,93.863,68.433
99.388,97.583,93.929,68.747
99.409,97.614,94.005,69.063
99.435,97.639,94.073,69.374
99.455,97.664,94.148,69.681
99.471,97.694,94.211,69.992
99.5,97.716,94.287,70.313
99.522,97.739,94.344,70.622
99.551,97.777,94.42,70.958
99.57,97.806,94.498,71.278
99.577,97.824,94.563,71.59
99.603,97.868,94.64,71.915
99.615,97.899,94.71,72.227
99.631,97.906,94.771,72.537
99.643,97.931,94.841,72.853
99.654,97.957,94.902,73.164
99.669,97.993,94.972,73.483
99.683,98.015,95.041,73.795
99.695,98.044,95.113,74.101
99.704,98.068,95.177,74.409
99.712,98.09,95.232,74.713
99.727,98.116,95.293,75.012
99.725,98.143,95.367,75.327
99.738,98.164,95.433,75.627
99.751,98.193,95.494,75.938
99.77,98.215,95.567,76.257
99.782,98.256,95.641,76.576
99.792,98.268,95.711,76.889
99.786,98.296,95.766,77.2
99.785,98.314,95.821,77.516
99.805,98.344,95.891,77.844
99.802,98.367,95.958,78.165
99.82,98.405,96.028,78.493
99.811,98.431,96.085,78.809
99.821,98.47,96.159,79.137
99.829,98.488,96.225,79.445
99.832,98.509,96.283,79.753
99.837,98.528,96.344,80.058
99.835,98.553,96.408,80.368
99.841,98.576,96.469,80.667
99.846,98.605,96.53,80.988
99.847,98.631,96.599,81.288
99.85,98.656,96.657,81.595
99.85,98.672,96.706,81.9
99.857,98.7,96.774,82.208
99.86,98.718,96.823,82.509
99.864,98.74,96.884,82.814
99.857,98.761,96.942,83.122
99.854,98.785,97.003,83.434
99.863,98.816,97.058,83.748
